"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"119.199997","0.389000","46.000000","0.000453","0.995000","1531969425"
"2",NULL,"118.800003","0.390000","46.000000","0.000453","0.996000","1531969427"
"3",NULL,"118.300003","0.393000","46.000000","0.000453","0.994000","1531969428"
"4",NULL,"118.800003","0.391000","46.000000","0.000453","0.995000","1531969430"
"5",NULL,"119.000000","0.392000","46.000000","0.000453","0.993000","1531969431"
"6",NULL,"119.199997","0.391000","46.000000","0.000453","0.992000","1531969433"
"7",NULL,"118.900002","0.393000","46.000000","0.000453","0.990000","1531969435"
"8",NULL,"119.099998","0.392000","46.000000","0.000453","0.990000","1531969436"
"9",NULL,"120.000000","0.389000","46.000000","0.000453","0.991000","1531969438"
"10",NULL,"119.800003","0.392000","46.000000","0.000453","0.987000","1531969439"
"11",NULL,"119.099998","0.394000","46.000000","0.000453","0.986000","1531969441"
"12",NULL,"118.199997","0.395000","46.000000","0.000453","0.990000","1531969443"
"13",NULL,"117.900002","0.396000","46.000000","0.000453","0.991000","1531969444"
"14",NULL,"117.800003","0.397000","46.000000","0.000453","0.992000","1531969446"
"15",NULL,"118.300003","0.395000","46.000000","0.000453","0.991000","1531969447"
"16",NULL,"118.699997","0.394000","46.000000","0.000453","0.990000","1531969449"
"17",NULL,"118.199997","0.394000","46.000000","0.000453","0.996000","1531969451"
"18",NULL,"118.400002","0.394000","46.000000","0.000453","0.993000","1531969452"
"19",NULL,"118.599998","0.393000","46.000000","0.000453","0.994000","1531969454"
"20",NULL,"118.900002","0.392000","46.000000","0.000453","0.992000","1531969455"
"21",NULL,"119.599998","0.391000","46.000000","0.000453","0.988000","1531969457"
"22",NULL,"119.800003","0.392000","46.000000","0.000453","0.986000","1531969458"
"23",NULL,"119.400002","0.392000","46.000000","0.000453","0.989000","1531969460"
"24",NULL,"118.699997","0.394000","46.000000","0.000453","0.989000","1531969462"
"25",NULL,"118.900002","0.392000","46.000000","0.000453","0.991000","1531969463"
"26",NULL,"119.000000","0.390000","46.000000","0.000453","0.995000","1531969465"
"27",NULL,"117.900002","0.392000","46.000000","0.000453","1.000000","1531969467"
"28",NULL,"118.800003","0.391000","46.000000","0.000453","0.996000","1531969468"
"29",NULL,"119.400002","0.392000","46.000000","0.000453","0.987000","1531969470"
"30",NULL,"119.099998","0.394000","46.000000","0.000453","0.985000","1531969471"
"31",NULL,"118.599998","0.393000","46.000000","0.000453","0.989000","1531969473"
"32",NULL,"118.500000","0.393000","46.000000","0.000453","0.991000","1531969475"
"33",NULL,"119.099998","0.390000","46.000000","0.000453","0.992000","1531969476"
"34",NULL,"119.099998","0.389000","46.000000","0.000453","0.997000","1531969478"
"35",NULL,"118.500000","0.391000","46.000000","0.000453","0.998000","1531969479"
"36",NULL,"118.900002","0.391000","46.000000","0.000453","0.997000","1531969481"
"37",NULL,"119.400002","0.389000","46.000000","0.000453","0.997000","1531969483"
"38",NULL,"119.300003","0.392000","46.000000","0.000453","0.989000","1531969484"
"39",NULL,"118.400002","0.393000","46.000000","0.000453","0.994000","1531969486"
"40",NULL,"118.400002","0.392000","46.000000","0.000453","0.999000","1531969487"
"41",NULL,"119.400002","0.390000","46.000000","0.000453","0.998000","1531969489"
"42",NULL,"119.300003","0.390000","46.000000","0.000453","0.997000","1531969490"
"43",NULL,"119.900002","0.390000","46.000000","0.000453","0.992000","1531969492"
"44",NULL,"119.000000","0.393000","46.000000","0.000453","0.992000","1531969494"
"45",NULL,"119.400002","0.392000","46.000000","0.000453","0.990000","1531969495"
"46",NULL,"120.099998","0.389000","46.000000","0.000453","0.988000","1531969497"
"47",NULL,"119.400002","0.389000","46.000000","0.000453","0.996000","1531969498"
"48",NULL,"119.500000","0.389000","46.000000","0.000453","0.996000","1531969500"
"49",NULL,"119.199997","0.391000","46.000000","0.000453","0.994000","1531969501"
"50",NULL,"118.500000","0.394000","46.000000","0.000453","0.992000","1531969503"
"51",NULL,"118.800003","0.393000","46.000000","0.000453","0.992000","1531969505"
"52",NULL,"119.599998","0.387000","46.000000","0.000453","0.999000","1531969506"
