JeinPoLiEnergySavingLampsBad,v_val,i_val,p_val,pf_val,date
JeinPoLiEnergySavingLampsBad,116.199997,0.269,20,0.646,1531662717
JeinPoLiEnergySavingLampsBad,115.099998,0.272,20,0.647,1531662719
JeinPoLiEnergySavingLampsBad,115.199997,0.269,20,0.65,1531662720
JeinPoLiEnergySavingLampsBad,114.5,0.27,20,0.65,1531662722
JeinPoLiEnergySavingLampsBad,115.199997,0.27,20,0.646,1531662724
JeinPoLiEnergySavingLampsBad,114.900002,0.269,20,0.648,1531662726
JeinPoLiEnergySavingLampsBad,114.400002,0.268,20,0.654,1531662728
JeinPoLiEnergySavingLampsBad,115.699997,0.267,20,0.649,1531662729
JeinPoLiEnergySavingLampsBad,115.599998,0.266,20,0.649,1531662731
JeinPoLiEnergySavingLampsBad,114.599998,0.269,19,0.644,1531662733
JeinPoLiEnergySavingLampsBad,114.800003,0.268,19,0.644,1531662735
JeinPoLiEnergySavingLampsBad,114.900002,0.267,19,0.645,1531662736
JeinPoLiEnergySavingLampsBad,115.5,0.265,19,0.65,1531662738
JeinPoLiEnergySavingLampsBad,116,0.268,19,0.639,1531662740
JeinPoLiEnergySavingLampsBad,115.400002,0.272,19,0.631,1531662742
JeinPoLiEnergySavingLampsBad,114.599998,0.269,19,0.64,1531662744
JeinPoLiEnergySavingLampsBad,115.5,0.264,19,0.645,1531662745
JeinPoLiEnergySavingLampsBad,115,0.267,19,0.639,1531662747
JeinPoLiEnergySavingLampsBad,115.300003,0.267,19,0.638,1531662749
JeinPoLiEnergySavingLampsBad,115.199997,0.264,19,0.645,1531662751
JeinPoLiEnergySavingLampsBad,115.400002,0.264,19,0.643,1531662752
JeinPoLiEnergySavingLampsBad,116,0.267,19,0.63,1531662754
JeinPoLiEnergySavingLampsBad,115.199997,0.264,19,0.639,1531662756
JeinPoLiEnergySavingLampsBad,113.900002,0.265,19,0.647,1531662758
JeinPoLiEnergySavingLampsBad,115.199997,0.262,19,0.643,1531662760
JeinPoLiEnergySavingLampsBad,114,0.26,19,0.656,1531662763
JeinPoLiEnergySavingLampsBad,114.900002,0.259,19,0.652,1531662765
JeinPoLiEnergySavingLampsBad,114.800003,0.264,19,0.637,1531662767
JeinPoLiEnergySavingLampsBad,115.199997,0.266,19,0.63,1531662769
JeinPoLiEnergySavingLampsBad,115.800003,0.261,19,0.639,1531662771
JeinPoLiEnergySavingLampsBad,116.199997,0.256,19,0.648,1531662773
JeinPoLiEnergySavingLampsBad,115.400002,0.26,19,0.641,1531662775
JeinPoLiEnergySavingLampsBad,115,0.259,19,0.644,1531662777
JeinPoLiEnergySavingLampsBad,115.099998,0.256,19,0.65,1531662779
JeinPoLiEnergySavingLampsBad,115.300003,0.258,19,0.643,1531662781
JeinPoLiEnergySavingLampsBad,114.699997,0.258,19,0.644,1531662783
JeinPoLiEnergySavingLampsBad,115,0.255,19,0.649,1531662785
JeinPoLiEnergySavingLampsBad,116.5,0.255,19,0.641,1531662787
JeinPoLiEnergySavingLampsBad,116.400002,0.254,19,0.645,1531662789
JeinPoLiEnergySavingLampsBad,115.599998,0.254,19,0.65,1531662791
JeinPoLiEnergySavingLampsBad,114.599998,0.254,19,0.654,1531662793
JeinPoLiEnergySavingLampsBad,115.599998,0.253,18,0.648,1531662794
JeinPoLiEnergySavingLampsBad,115.400002,0.257,18,0.638,1531662796
JeinPoLiEnergySavingLampsBad,115.199997,0.254,18,0.645,1531662798
JeinPoLiEnergySavingLampsBad,115.199997,0.254,18,0.646,1531662800
JeinPoLiEnergySavingLampsBad,114.900002,0.253,18,0.649,1531662802
JeinPoLiEnergySavingLampsBad,114.900002,0.256,18,0.641,1531662804
JeinPoLiEnergySavingLampsBad,115.199997,0.256,18,0.641,1531662806
JeinPoLiEnergySavingLampsBad,115.099998,0.256,18,0.642,1531662807
JeinPoLiEnergySavingLampsBad,116.300003,0.256,18,0.637,1531662809
JeinPoLiEnergySavingLampsBad,115.199997,0.257,18,0.64,1531662811
JeinPoLiEnergySavingLampsBad,115,0.257,18,0.637,1531662813
JeinPoLiEnergySavingLampsBad,114.5,0.254,18,0.649,1531662815
JeinPoLiEnergySavingLampsBad,114.400002,0.253,18,0.651,1531662816
JeinPoLiEnergySavingLampsBad,115.800003,0.253,18,0.64,1531662818
JeinPoLiEnergySavingLampsBad,115.699997,0.252,18,0.646,1531662820
JeinPoLiEnergySavingLampsBad,115.5,0.252,18,0.648,1531662822
JeinPoLiEnergySavingLampsBad,114.400002,0.258,18,0.64,1531662823
JeinPoLiEnergySavingLampsBad,114.900002,0.255,18,0.642,1531662825
JeinPoLiEnergySavingLampsBad,115.199997,0.252,18,0.648,1531662827
JeinPoLiEnergySavingLampsBad,114.400002,0.257,18,0.643,1531662829
JeinPoLiEnergySavingLampsBad,114.599998,0.257,18,0.64,1531662831
JeinPoLiEnergySavingLampsBad,116,0.253,18,0.643,1531662832
JeinPoLiEnergySavingLampsBad,114.900002,0.252,18,0.649,1531662834
JeinPoLiEnergySavingLampsBad,114.800003,0.252,18,0.65,1531662836
JeinPoLiEnergySavingLampsBad,115.900002,0.254,18,0.638,1531662838
JeinPoLiEnergySavingLampsBad,114.800003,0.26,18,0.629,1531662839
JeinPoLiEnergySavingLampsBad,114.800003,0.254,18,0.644,1531662841
JeinPoLiEnergySavingLampsBad,115.099998,0.252,18,0.648,1531662843
JeinPoLiEnergySavingLampsBad,115.599998,0.251,18,0.647,1531662845
JeinPoLiEnergySavingLampsBad,115.199997,0.256,18,0.638,1531662847
JeinPoLiEnergySavingLampsBad,114.699997,0.256,18,0.641,1531662848
JeinPoLiEnergySavingLampsBad,115.599998,0.256,18,0.636,1531662850
JeinPoLiEnergySavingLampsBad,116,0.255,18,0.635,1531662852
JeinPoLiEnergySavingLampsBad,114.699997,0.259,18,0.63,1531662854
JeinPoLiEnergySavingLampsBad,114,0.258,18,0.637,1531662855
JeinPoLiEnergySavingLampsBad,115,0.255,18,0.637,1531662857
JeinPoLiEnergySavingLampsBad,114.699997,0.253,18,0.645,1531662859
JeinPoLiEnergySavingLampsBad,113.900002,0.257,18,0.643,1531662861
JeinPoLiEnergySavingLampsBad,113.900002,0.255,18,0.644,1531662862
JeinPoLiEnergySavingLampsBad,114.800003,0.25,18,0.651,1531662864
JeinPoLiEnergySavingLampsBad,115.199997,0.249,18,0.65,1531662866
JeinPoLiEnergySavingLampsBad,114.699997,0.25,18,0.649,1531662868
JeinPoLiEnergySavingLampsBad,114.800003,0.25,18,0.647,1531662869
JeinPoLiEnergySavingLampsBad,115.199997,0.251,18,0.645,1531662871
JeinPoLiEnergySavingLampsBad,115.5,0.25,18,0.645,1531662873
JeinPoLiEnergySavingLampsBad,114.699997,0.255,18,0.635,1531662875
JeinPoLiEnergySavingLampsBad,115.599998,0.251,18,0.641,1531662877
JeinPoLiEnergySavingLampsBad,115.599998,0.249,18,0.645,1531662878
JeinPoLiEnergySavingLampsBad,115.099998,0.249,18,0.648,1531662880
JeinPoLiEnergySavingLampsBad,114.400002,0.254,18,0.64,1531662882
JeinPoLiEnergySavingLampsBad,114.900002,0.253,18,0.637,1531662883
JeinPoLiEnergySavingLampsBad,115.199997,0.252,18,0.639,1531662885
JeinPoLiEnergySavingLampsBad,115.699997,0.252,18,0.638,1531662887
JeinPoLiEnergySavingLampsBad,114.900002,0.255,18,0.634,1531662889
JeinPoLiEnergySavingLampsBad,115.699997,0.252,18,0.635,1531662890
JeinPoLiEnergySavingLampsBad,116.099998,0.252,18,0.635,1531662892
JeinPoLiEnergySavingLampsBad,115.599998,0.256,18,0.627,1531662894
JeinPoLiEnergySavingLampsBad,115.900002,0.254,18,0.632,1531662896
JeinPoLiEnergySavingLampsBad,115.5,0.252,18,0.638,1531662898
JeinPoLiEnergySavingLampsBad,115.699997,0.248,18,0.647,1531662900
JeinPoLiEnergySavingLampsBad,115.199997,0.252,18,0.638,1531662901
JeinPoLiEnergySavingLampsBad,114.800003,0.251,18,0.642,1531662903
JeinPoLiEnergySavingLampsBad,115.099998,0.254,18,0.633,1531662905
JeinPoLiEnergySavingLampsBad,115.199997,0.255,18,0.631,1531662907
JeinPoLiEnergySavingLampsBad,114.900002,0.249,18,0.648,1531662908
JeinPoLiEnergySavingLampsBad,115.199997,0.249,18,0.646,1531662910
JeinPoLiEnergySavingLampsBad,115.400002,0.251,18,0.64,1531662912
JeinPoLiEnergySavingLampsBad,115.699997,0.249,18,0.645,1531662913
JeinPoLiEnergySavingLampsBad,115.300003,0.254,18,0.634,1531662915
JeinPoLiEnergySavingLampsBad,114.900002,0.253,18,0.639,1531662917
JeinPoLiEnergySavingLampsBad,114.400002,0.253,18,0.643,1531662919
JeinPoLiEnergySavingLampsBad,115.300003,0.253,18,0.635,1531662920
JeinPoLiEnergySavingLampsBad,116.300003,0.251,18,0.635,1531662922
JeinPoLiEnergySavingLampsBad,115.699997,0.252,18,0.637,1531662924
JeinPoLiEnergySavingLampsBad,115.199997,0.252,18,0.64,1531662926
JeinPoLiEnergySavingLampsBad,116.099998,0.248,18,0.647,1531662928
JeinPoLiEnergySavingLampsBad,115.900002,0.249,18,0.644,1531662930
JeinPoLiEnergySavingLampsBad,115.800003,0.25,18,0.643,1531662931
JeinPoLiEnergySavingLampsBad,115.199997,0.25,18,0.646,1531662933
JeinPoLiEnergySavingLampsBad,114.5,0.253,18,0.645,1531662935
JeinPoLiEnergySavingLampsBad,114.800003,0.253,18,0.644,1531662937
JeinPoLiEnergySavingLampsBad,115.599998,0.251,18,0.646,1531662939
JeinPoLiEnergySavingLampsBad,115.400002,0.254,18,0.641,1531662940
JeinPoLiEnergySavingLampsBad,115.5,0.252,18,0.644,1531662942
JeinPoLiEnergySavingLampsBad,115.400002,0.253,18,0.643,1531662944
JeinPoLiEnergySavingLampsBad,115.5,0.253,18,0.64,1531662946
JeinPoLiEnergySavingLampsBad,116,0.251,18,0.646,1531662948
JeinPoLiEnergySavingLampsBad,114.900002,0.255,18,0.642,1531662949
JeinPoLiEnergySavingLampsBad,114.800003,0.253,18,0.648,1531662951
JeinPoLiEnergySavingLampsBad,115.699997,0.25,18,0.649,1531662953
JeinPoLiEnergySavingLampsBad,114.699997,0.258,18,0.633,1531662955
JeinPoLiEnergySavingLampsBad,115.199997,0.256,18,0.638,1531662956
JeinPoLiEnergySavingLampsBad,115.199997,0.254,18,0.643,1531662958
JeinPoLiEnergySavingLampsBad,114.900002,0.25,18,0.654,1531662960
JeinPoLiEnergySavingLampsBad,115.400002,0.25,18,0.651,1531662962
JeinPoLiEnergySavingLampsBad,114.900002,0.255,18,0.64,1531662963
JeinPoLiEnergySavingLampsBad,115.5,0.252,18,0.644,1531662965
JeinPoLiEnergySavingLampsBad,115.400002,0.252,18,0.644,1531662967
JeinPoLiEnergySavingLampsBad,114.900002,0.253,18,0.643,1531662969
JeinPoLiEnergySavingLampsBad,115.199997,0.253,18,0.641,1531662971
JeinPoLiEnergySavingLampsBad,115.800003,0.255,18,0.634,1531662972
JeinPoLiEnergySavingLampsBad,115.300003,0.254,18,0.64,1531662974
