app_id,v_val,i_val,p_val,pf_val,date
T5TwentyEightWattThreeYear,119.599998,0.396,47,0.996,1531815800
T5TwentyEightWattThreeYear,119.699997,0.396,47,0.993,1531815802
T5TwentyEightWattThreeYear,120.099998,0.393,47,0.996,1531815803
T5TwentyEightWattThreeYear,120.199997,0.392,47,0.996,1531815805
T5TwentyEightWattThreeYear,120.5,0.392,46,0.992,1531815806
T5TwentyEightWattThreeYear,120.300003,0.393,46,0.993,1531815808
T5TwentyEightWattThreeYear,120.900002,0.392,46,0.989,1531815809
T5TwentyEightWattThreeYear,120.5,0.392,47,0.993,1531815811
T5TwentyEightWattThreeYear,120.599998,0.39,47,0.999,1531815812
T5TwentyEightWattThreeYear,121.599998,0.388,47,0.995,1531815814
T5TwentyEightWattThreeYear,121,0.391,47,0.992,1531815815
T5TwentyEightWattThreeYear,120.5,0.392,47,0.995,1531815817
T5TwentyEightWattThreeYear,120.099998,0.394,47,0.992,1531815818
T5TwentyEightWattThreeYear,119.900002,0.395,47,0.992,1531815820
T5TwentyEightWattThreeYear,120.599998,0.394,47,0.987,1531815821
T5TwentyEightWattThreeYear,121.199997,0.392,47,0.988,1531815823
T5TwentyEightWattThreeYear,120.699997,0.395,47,0.99,1531815824
T5TwentyEightWattThreeYear,120,0.398,47,0.988,1531815826
T5TwentyEightWattThreeYear,120.199997,0.396,47,0.989,1531815827
T5TwentyEightWattThreeYear,120.400002,0.396,47,0.986,1531815829
T5TwentyEightWattThreeYear,120.900002,0.393,47,0.991,1531815830
T5TwentyEightWattThreeYear,120.800003,0.391,47,0.999,1531815832
T5TwentyEightWattThreeYear,119.699997,0.392,47,1,1531815834
T5TwentyEightWattThreeYear,120.099998,0.392,47,1,1531815835
T5TwentyEightWattThreeYear,120.300003,0.393,47,0.998,1531815837
T5TwentyEightWattThreeYear,119.699997,0.395,47,0.998,1531815838
T5TwentyEightWattThreeYear,119.5,0.399,47,0.989,1531815840
T5TwentyEightWattThreeYear,120.199997,0.396,47,0.992,1531815841
T5TwentyEightWattThreeYear,120.900002,0.392,47,0.994,1531815843
T5TwentyEightWattThreeYear,120.5,0.394,47,0.992,1531815844
T5TwentyEightWattThreeYear,119.800003,0.393,47,1,1531815846
T5TwentyEightWattThreeYear,119.599998,0.393,47,1,1531815847
T5TwentyEightWattThreeYear,120.599998,0.393,47,0.995,1531815849
T5TwentyEightWattThreeYear,121.599998,0.391,47,0.991,1531815850
T5TwentyEightWattThreeYear,121.800003,0.392,47,0.986,1531815852
T5TwentyEightWattThreeYear,121.300003,0.391,47,0.995,1531815853
T5TwentyEightWattThreeYear,120.300003,0.394,47,0.996,1531815855
T5TwentyEightWattThreeYear,120.900002,0.393,47,0.991,1531815856
T5TwentyEightWattThreeYear,121.599998,0.39,47,0.992,1531815858
T5TwentyEightWattThreeYear,121.5,0.39,47,0.994,1531815859
T5TwentyEightWattThreeYear,120.800003,0.392,47,0.996,1531815861
T5TwentyEightWattThreeYear,120.199997,0.394,47,0.997,1531815862
T5TwentyEightWattThreeYear,120.199997,0.393,47,0.997,1531815864
T5TwentyEightWattThreeYear,120,0.394,47,0.995,1531815865
T5TwentyEightWattThreeYear,120.800003,0.392,47,0.993,1531815867
T5TwentyEightWattThreeYear,120.599998,0.395,47,0.989,1531815868
T5TwentyEightWattThreeYear,120.5,0.396,47,0.99,1531815870
T5TwentyEightWattThreeYear,120.900002,0.394,47,0.991,1531815871
T5TwentyEightWattThreeYear,121.699997,0.393,47,0.987,1531815873
T5TwentyEightWattThreeYear,121.099998,0.394,47,0.988,1531815874
T5TwentyEightWattThreeYear,120.400002,0.394,47,0.993,1531815876
T5TwentyEightWattThreeYear,120.5,0.395,47,0.991,1531815877
T5TwentyEightWattThreeYear,121.099998,0.394,47,0.99,1531815879
T5TwentyEightWattThreeYear,121.599998,0.391,47,0.993,1531815880
T5TwentyEightWattThreeYear,121.599998,0.391,47,0.992,1531815882
T5TwentyEightWattThreeYear,120.599998,0.392,47,0.998,1531815883
T5TwentyEightWattThreeYear,120.099998,0.394,47,0.998,1531815885
T5TwentyEightWattThreeYear,120.599998,0.393,47,0.998,1531815886
T5TwentyEightWattThreeYear,121.400002,0.389,47,1,1531815888
T5TwentyEightWattThreeYear,121.5,0.39,47,0.995,1531815889
T5TwentyEightWattThreeYear,120.099998,0.395,47,0.995,1531815891
T5TwentyEightWattThreeYear,121.099998,0.392,47,0.997,1531815892
T5TwentyEightWattThreeYear,121,0.392,47,0.995,1531815894
T5TwentyEightWattThreeYear,120.699997,0.394,47,0.991,1531815895
T5TwentyEightWattThreeYear,119.800003,0.398,47,0.988,1531815897
T5TwentyEightWattThreeYear,120.199997,0.395,47,0.992,1531815898
T5TwentyEightWattThreeYear,120.699997,0.392,47,0.996,1531815900
T5TwentyEightWattThreeYear,121.400002,0.389,47,0.998,1531815901
T5TwentyEightWattThreeYear,121.300003,0.392,47,0.989,1531815903
T5TwentyEightWattThreeYear,120.599998,0.393,47,0.993,1531815904
T5TwentyEightWattThreeYear,120.300003,0.396,47,0.988,1531815906
T5TwentyEightWattThreeYear,120.800003,0.394,47,0.989,1531815907
T5TwentyEightWattThreeYear,120.900002,0.392,47,0.994,1531815909
T5TwentyEightWattThreeYear,120.800003,0.39,47,0.999,1531815910
T5TwentyEightWattThreeYear,120.599998,0.392,47,0.996,1531815912
T5TwentyEightWattThreeYear,119.800003,0.395,47,0.995,1531815913
T5TwentyEightWattThreeYear,119.900002,0.394,47,0.996,1531815915
T5TwentyEightWattThreeYear,120.599998,0.392,47,0.996,1531815916
T5TwentyEightWattThreeYear,121.099998,0.393,47,0.991,1531815918
T5TwentyEightWattThreeYear,120.699997,0.396,47,0.987,1531815919
T5TwentyEightWattThreeYear,120.699997,0.395,47,0.987,1531815921
T5TwentyEightWattThreeYear,120.5,0.395,47,0.989,1531815922
T5TwentyEightWattThreeYear,119.900002,0.395,47,0.994,1531815924
T5TwentyEightWattThreeYear,120.699997,0.392,46,0.993,1531815925
T5TwentyEightWattThreeYear,121.199997,0.391,47,0.992,1531815927
T5TwentyEightWattThreeYear,120.400002,0.393,47,0.994,1531815928
T5TwentyEightWattThreeYear,121,0.395,47,0.985,1531815930
T5TwentyEightWattThreeYear,120,0.396,47,0.99,1531815931
T5TwentyEightWattThreeYear,120,0.393,47,0.998,1531815933
T5TwentyEightWattThreeYear,120.800003,0.391,47,0.994,1531815934
T5TwentyEightWattThreeYear,121.400002,0.391,47,0.991,1531815936
T5TwentyEightWattThreeYear,120.300003,0.394,47,0.992,1531815937
T5TwentyEightWattThreeYear,120.300003,0.395,47,0.992,1531815939
T5TwentyEightWattThreeYear,120.800003,0.394,47,0.989,1531815940
T5TwentyEightWattThreeYear,120.699997,0.394,47,0.989,1531815942
T5TwentyEightWattThreeYear,120.699997,0.392,47,0.994,1531815943
T5TwentyEightWattThreeYear,120.599998,0.391,47,0.996,1531815945
T5TwentyEightWattThreeYear,120.800003,0.391,46,0.994,1531815946
T5TwentyEightWattThreeYear,121.5,0.389,46,0.992,1531815948
T5TwentyEightWattThreeYear,121.199997,0.39,46,0.992,1531815949
T5TwentyEightWattThreeYear,120.300003,0.392,46,0.996,1531815951
T5TwentyEightWattThreeYear,119.599998,0.395,46,0.994,1531815952
T5TwentyEightWattThreeYear,120,0.394,46,0.992,1531815954
T5TwentyEightWattThreeYear,120.699997,0.392,46,0.99,1531815955
T5TwentyEightWattThreeYear,121,0.389,46,0.994,1531815957
T5TwentyEightWattThreeYear,120.5,0.389,46,0.998,1531815958
T5TwentyEightWattThreeYear,120.099998,0.392,46,0.995,1531815960
T5TwentyEightWattThreeYear,120.199997,0.392,46,0.993,1531815961
T5TwentyEightWattThreeYear,120.199997,0.391,46,0.996,1531815963
T5TwentyEightWattThreeYear,119.900002,0.392,46,0.997,1531815964
T5TwentyEightWattThreeYear,120.199997,0.391,46,0.998,1531815966
T5TwentyEightWattThreeYear,120.300003,0.391,47,0.998,1531815967
T5TwentyEightWattThreeYear,120,0.393,47,0.995,1531815969
T5TwentyEightWattThreeYear,120.5,0.392,47,0.993,1531815970
T5TwentyEightWattThreeYear,121,0.39,47,0.996,1531815972
T5TwentyEightWattThreeYear,120.900002,0.392,47,0.992,1531815973
T5TwentyEightWattThreeYear,121,0.392,47,0.989,1531815975
T5TwentyEightWattThreeYear,121.199997,0.39,47,0.993,1531815977
