"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"119.400002","0.419000","49.000000","0.006397","0.991000","1531805599"
"2",NULL,"119.699997","0.418000","49.000000","0.006397","0.991000","1531805600"
"3",NULL,"119.500000","0.419000","49.000000","0.006397","0.989000","1531805602"
"4",NULL,"119.199997","0.418000","49.000000","0.006397","0.993000","1531805604"
"5",NULL,"118.900002","0.418000","49.000000","0.006397","0.996000","1531805605"
"6",NULL,"119.199997","0.418000","49.000000","0.006397","0.993000","1531805607"
"7",NULL,"119.800003","0.414000","49.000000","0.006397","0.996000","1531805609"
"8",NULL,"119.500000","0.417000","49.000000","0.006397","0.991000","1531805611"
"9",NULL,"117.900002","0.423000","49.000000","0.006397","0.990000","1531805612"
"10",NULL,"118.000000","0.423000","49.000000","0.006397","0.987000","1531805614"
"11",NULL,"117.599998","0.423000","49.000000","0.006397","0.989000","1531805616"
"12",NULL,"118.699997","0.417000","49.000000","0.006397","0.996000","1531805618"
"13",NULL,"119.599998","0.414000","49.000000","0.006397","0.994000","1531805619"
"14",NULL,"118.900002","0.415000","49.000000","0.006397","0.998000","1531805621"
"15",NULL,"118.099998","0.418000","49.000000","0.006397","0.996000","1531805623"
"16",NULL,"119.300003","0.412000","49.000000","0.006397","0.998000","1531805624"
"17",NULL,"119.599998","0.412000","49.000000","0.006397","0.996000","1531805626"
"18",NULL,"119.800003","0.412000","49.000000","0.006397","0.995000","1531805628"
"19",NULL,"119.099998","0.415000","49.000000","0.006397","0.990000","1531805630"
"20",NULL,"119.300003","0.411000","49.000000","0.006397","0.998000","1531805631"
"21",NULL,"119.400002","0.411000","49.000000","0.006397","0.997000","1531805633"
"22",NULL,"120.099998","0.410000","48.000000","0.006397","0.991000","1531805635"
"23",NULL,"119.800003","0.412000","48.000000","0.006397","0.991000","1531805637"
"24",NULL,"119.500000","0.411000","48.000000","0.006397","0.995000","1531805638"
"25",NULL,"118.800003","0.412000","48.000000","0.006397","0.999000","1531805640"
"26",NULL,"118.599998","0.413000","48.000000","0.006397","0.998000","1531805642"
"27",NULL,"118.300003","0.414000","48.000000","0.006397","0.994000","1531805644"
"28",NULL,"118.199997","0.415000","48.000000","0.006397","0.996000","1531805645"
"29",NULL,"118.300003","0.411000","48.000000","0.006397","1.000000","1531805647"
"30",NULL,"119.300003","0.409000","48.000000","0.006397","1.000000","1531805649"
"31",NULL,"119.500000","0.411000","48.000000","0.006397","0.993000","1531805651"
"32",NULL,"118.099998","0.416000","48.000000","0.006397","0.989000","1531805652"
"33",NULL,"118.300003","0.414000","48.000000","0.006397","0.992000","1531805654"
"34",NULL,"117.699997","0.415000","48.000000","0.006397","0.995000","1531805656"
"35",NULL,"117.500000","0.415000","48.000000","0.006397","0.997000","1531805658"
"36",NULL,"118.400002","0.412000","48.000000","0.006397","0.996000","1531805659"
"37",NULL,"118.300003","0.416000","48.000000","0.006397","0.989000","1531805661"
"38",NULL,"118.400002","0.417000","48.000000","0.006397","0.988000","1531805663"
"39",NULL,"118.400002","0.417000","48.000000","0.006397","0.987000","1531805665"
"40",NULL,"119.000000","0.412000","48.000000","0.006397","0.993000","1531805666"
"41",NULL,"118.699997","0.413000","48.000000","0.006397","0.993000","1531805668"
"42",NULL,"118.000000","0.414000","48.000000","0.006397","0.996000","1531805670"
"43",NULL,"118.400002","0.411000","48.000000","0.006397","0.999000","1531805671"
"44",NULL,"118.599998","0.412000","48.000000","0.006397","0.993000","1531805673"
"45",NULL,"118.500000","0.414000","48.000000","0.006397","0.988000","1531805675"
"46",NULL,"118.400002","0.412000","48.000000","0.006397","0.992000","1531805677"
"47",NULL,"118.099998","0.412000","48.000000","0.006397","1.000000","1531805679"
"48",NULL,"117.800003","0.412000","48.000000","0.006397","1.000000","1531805680"
"49",NULL,"118.699997","0.409000","48.000000","0.006397","0.999000","1531805682"
"50",NULL,"118.699997","0.409000","48.000000","0.006397","0.996000","1531805684"
"51",NULL,"119.000000","0.411000","48.000000","0.006397","0.987000","1531805686"
"52",NULL,"118.900002","0.408000","48.000000","0.006397","0.994000","1531805688"
"53",NULL,"119.099998","0.405000","48.000000","0.006397","0.999000","1531805690"
"54",NULL,"119.000000","0.406000","48.000000","0.006397","0.999000","1531805691"
"55",NULL,"118.699997","0.410000","48.000000","0.006397","0.991000","1531805693"
"56",NULL,"118.099998","0.410000","48.000000","0.006397","0.998000","1531805695"
"57",NULL,"117.300003","0.411000","48.000000","0.006397","1.000000","1531805697"
"58",NULL,"117.900002","0.409000","48.000000","0.006397","0.998000","1531805698"
"59",NULL,"118.400002","0.407000","48.000000","0.006397","0.998000","1531805700"
"60",NULL,"118.599998","0.407000","48.000000","0.006397","0.998000","1531805702"
"61",NULL,"118.500000","0.406000","48.000000","0.006397","0.997000","1531805704"
"62",NULL,"118.599998","0.405000","48.000000","0.006397","0.999000","1531805705"
"63",NULL,"118.699997","0.408000","48.000000","0.006397","0.993000","1531805707"
"64",NULL,"118.099998","0.408000","48.000000","0.006397","0.997000","1531805709"
"65",NULL,"117.900002","0.410000","48.000000","0.006397","0.995000","1531805711"
"66",NULL,"118.300003","0.410000","48.000000","0.006397","0.992000","1531805712"
"67",NULL,"118.000000","0.409000","48.000000","0.006397","0.996000","1531805714"
"68",NULL,"117.599998","0.409000","48.000000","0.006397","0.999000","1531805716"
"69",NULL,"118.800003","0.406000","48.000000","0.006397","0.996000","1531805718"
"70",NULL,"118.199997","0.407000","48.000000","0.006397","0.996000","1531805719"
"71",NULL,"118.099998","0.408000","48.000000","0.006397","0.995000","1531805721"
"72",NULL,"118.199997","0.409000","48.000000","0.006397","0.993000","1531805723"
"73",NULL,"118.099998","0.406000","48.000000","0.006397","1.000000","1531805725"
"74",NULL,"118.699997","0.405000","48.000000","0.006397","0.997000","1531805726"
"75",NULL,"118.300003","0.406000","48.000000","0.006397","0.999000","1531805728"
"76",NULL,"119.099998","0.404000","47.000000","0.006397","0.996000","1531805730"
"77",NULL,"119.000000","0.406000","47.000000","0.006397","0.991000","1531805732"
"78",NULL,"118.300003","0.407000","47.000000","0.006397","0.993000","1531805733"
"79",NULL,"117.699997","0.409000","47.000000","0.006397","0.991000","1531805735"
"80",NULL,"117.599998","0.408000","47.000000","0.000400","0.997000","1531805737"
"81",NULL,"118.900002","0.404000","47.000000","0.000400","0.997000","1531805739"
"82",NULL,"118.800003","0.406000","47.000000","0.000400","0.994000","1531805740"
"83",NULL,"119.300003","0.404000","47.000000","0.000400","0.994000","1531805742"
"84",NULL,"118.599998","0.405000","47.000000","0.000400","0.997000","1531805744"
"85",NULL,"119.300003","0.402000","47.000000","0.000400","0.996000","1531805746"
"86",NULL,"117.900002","0.404000","47.000000","0.000400","1.000000","1531805747"
"87",NULL,"117.400002","0.406000","47.000000","0.000400","1.000000","1531805749"
"88",NULL,"117.800003","0.407000","47.000000","0.000400","0.998000","1531805751"
"89",NULL,"117.699997","0.407000","47.000000","0.000400","0.997000","1531805753"
"90",NULL,"117.699997","0.408000","47.000000","0.000400","0.994000","1531805754"
"91",NULL,"117.900002","0.409000","47.000000","0.000400","0.990000","1531805756"
"92",NULL,"118.099998","0.408000","47.000000","0.000400","0.989000","1531805758"
"93",NULL,"118.699997","0.404000","47.000000","0.000400","0.996000","1531805759"
"94",NULL,"117.800003","0.406000","47.000000","0.000400","1.000000","1531805761"
"95",NULL,"117.699997","0.405000","47.000000","0.000400","1.000000","1531805763"
"96",NULL,"119.400002","0.400000","47.000000","0.000400","1.000000","1531805765"
"97",NULL,"119.000000","0.403000","47.000000","0.000400","0.997000","1531805766"
"98",NULL,"118.300003","0.405000","47.000000","0.000400","0.999000","1531805768"
"99",NULL,"118.599998","0.402000","47.000000","0.000400","1.000000","1531805770"
"100",NULL,"119.000000","0.403000","47.000000","0.000400","0.996000","1531805772"
"101",NULL,"118.699997","0.404000","47.000000","0.000400","0.996000","1531805773"
"102",NULL,"117.900002","0.407000","47.000000","0.000400","0.998000","1531805775"
"103",NULL,"117.800003","0.407000","47.000000","0.000400","0.999000","1531805777"
"104",NULL,"117.599998","0.406000","47.000000","0.000400","1.000000","1531805779"
"105",NULL,"118.099998","0.403000","47.000000","0.000400","1.000000","1531805780"
"106",NULL,"118.699997","0.401000","47.000000","0.000400","1.000000","1531805782"
"107",NULL,"118.900002","0.402000","47.000000","0.000400","1.000000","1531805784"
"108",NULL,"118.500000","0.405000","47.000000","0.000400","0.994000","1531805786"
