"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"121.500000","0.395000","47.000000","0.006381","0.994000","1531801935"
"2",NULL,"120.800003","0.398000","47.000000","0.006381","0.994000","1531801937"
"3",NULL,"120.699997","0.398000","47.000000","0.006384","0.994000","1531801939"
"4",NULL,"120.000000","0.402000","47.000000","0.006384","0.993000","1531801941"
"5",NULL,"120.199997","0.401000","47.000000","0.006384","0.991000","1531801942"
"6",NULL,"120.300003","0.400000","47.000000","0.006384","0.992000","1531801944"
"7",NULL,"119.699997","0.401000","47.000000","0.006384","0.996000","1531801946"
"8",NULL,"120.599998","0.397000","47.000000","0.006384","0.998000","1531801948"
"9",NULL,"121.000000","0.395000","47.000000","0.006384","0.999000","1531801949"
"10",NULL,"120.900002","0.398000","47.000000","0.006384","0.992000","1531801951"
"11",NULL,"121.400002","0.397000","47.000000","0.006384","0.990000","1531801953"
"12",NULL,"120.800003","0.397000","47.000000","0.006384","0.995000","1531801954"
"13",NULL,"119.900002","0.399000","47.000000","0.006384","0.998000","1531801956"
"14",NULL,"120.300003","0.397000","47.000000","0.006384","1.000000","1531801958"
"15",NULL,"120.900002","0.397000","47.000000","0.006384","0.994000","1531801960"
"16",NULL,"121.000000","0.398000","47.000000","0.006384","0.990000","1531801961"
"17",NULL,"119.800003","0.400000","47.000000","0.006384","0.994000","1531801963"
"18",NULL,"120.500000","0.397000","47.000000","0.006384","0.997000","1531801965"
"19",NULL,"121.400002","0.396000","47.000000","0.006384","0.989000","1531801966"
"20",NULL,"120.900002","0.400000","47.000000","0.006384","0.985000","1531801968"
"21",NULL,"120.000000","0.402000","47.000000","0.006384","0.986000","1531801970"
"22",NULL,"119.800003","0.399000","47.000000","0.006384","0.994000","1531801972"
"23",NULL,"120.900002","0.396000","47.000000","0.006384","0.994000","1531801973"
"24",NULL,"121.500000","0.392000","47.000000","0.006384","0.998000","1531801975"
"25",NULL,"121.199997","0.393000","47.000000","0.006384","0.998000","1531801977"
"26",NULL,"120.400002","0.396000","47.000000","0.006384","0.995000","1531801979"
"27",NULL,"120.400002","0.396000","47.000000","0.006384","0.996000","1531801980"
"28",NULL,"120.099998","0.397000","47.000000","0.006384","0.997000","1531801982"
"29",NULL,"119.900002","0.399000","47.000000","0.006384","0.994000","1531801984"
"30",NULL,"120.199997","0.398000","47.000000","0.006384","0.993000","1531801986"
"31",NULL,"120.300003","0.397000","47.000000","0.006384","0.995000","1531801987"
"32",NULL,"119.400002","0.398000","47.000000","0.006384","0.999000","1531801989"
"33",NULL,"120.699997","0.395000","47.000000","0.006384","0.996000","1531801991"
"34",NULL,"121.900002","0.391000","47.000000","0.006384","0.997000","1531801993"
"35",NULL,"121.199997","0.395000","47.000000","0.006384","0.995000","1531801994"
"36",NULL,"120.300003","0.398000","47.000000","0.006384","0.995000","1531801996"
"37",NULL,"120.199997","0.398000","47.000000","0.006384","0.997000","1531801998"
"38",NULL,"120.000000","0.396000","47.000000","0.006384","1.000000","1531802000"
"39",NULL,"120.300003","0.396000","47.000000","0.006384","1.000000","1531802001"
"40",NULL,"120.900002","0.396000","47.000000","0.006384","0.999000","1531802003"
"41",NULL,"120.500000","0.398000","47.000000","0.006384","0.997000","1531802005"
"42",NULL,"120.500000","0.399000","47.000000","0.006384","0.994000","1531802007"
"43",NULL,"120.199997","0.401000","47.000000","0.006384","0.992000","1531802008"
